0.4043	0.061	1.0039	2.1021	0.1371	0.0298	0.2513	0.2762	0.9343	0.5997	0.8606	0.1878	0.1333	0.8164	1.2948	0.3873	0.1	1
0.4023	0.0362	0.9144	1.9278	0.1333	0.0224	0.1719	0.2426	0.9054	0.5867	0.7491	0.1331	0.0771	0.774	1.274	0.4215	0.1	2
0.4337	0.0577	0.8969	1.9165	0.1542	0.0334	0.3627	0.2887	0.9661	0.6095	0.7503	0.2013	0.1741	0.7829	1.2929	0.4317	0.1	3
0.4277	0.0648	1.0169	2.0548	0.161	0.0332	0.264	0.2913	0.9617	0.6204	0.8218	0.2009	0.1396	0.824	1.3005	0.4993	0.1	4
0.4102	0.0613	1.0422	1.9998	0.1637	0.0313	0.2661	0.3018	0.9622	0.5917	0.8063	0.1938	0.1383	0.7925	1.3091	0.4816	0.1	5
0.431	0.0642	1.0128	2.0659	0.1604	0.0324	0.2653	0.2913	0.9637	0.6191	0.8161	0.2037	0.1358	0.8197	1.3177	0.5007	0.1	6
0.4466	0.0668	0.999	2.079	0.1609	0.0324	0.2669	0.3108	0.9913	0.6089	0.871	0.2	0.1359	0.8115	1.3223	0.5207	0.1	7
0.4257	0.0619	1.002	1.943	0.1622	0.0318	0.2743	0.2783	0.9499	0.6176	0.865	0.2049	0.1371	0.8273	1.2978	0.4905	0.1	8
0.4444	0.0613	0.9473	2.1742	0.1668	0.034	0.2663	0.2887	0.9881	0.6407	0.8548	0.2039	0.1403	0.8202	1.2575	0.5086	0.1	9
0.4238	0.0668	1.0286	2.0202	0.1603	0.0325	0.2718	0.2946	0.9762	0.6102	0.8296	0.208	0.1359	0.8029	1.259	0.4953	0.1	10
0.4307	0.0634	1.0084	2.0279	0.1475	0.031	0.2654	0.2996	1.0019	0.5858	0.7921	0.2049	0.1389	0.8827	1.3485	0.5134	0.1	11
0.4051	0.062	1.0044	1.9995	0.1512	0.0319	0.2614	0.307	0.92	0.6426	0.8114	0.2014	0.1428	0.7909	1.3301	0.4872	0.1	12
